market_id,city_ids,quarter,weights,nodes0,nodes1,nodes2,nodes3,income,income_squared,age,child
C01Q1,1,1,0.05,0.434100553,-1.500837807,-1.151078611,0.161016812,0.495123494,8.331304181,-0.230109009,-0.230851064
C01Q1,1,1,0.05,-0.726649069,0.133181742,-0.500749808,0.129731593,0.37876223,6.121864685,-2.532694102,0.769148936
C01Q1,1,1,0.05,-0.623060749,-0.138240544,0.797441179,-0.795549155,0.105014608,1.030802515,-0.006965458,-0.230851064
C01Q1,1,1,0.05,-0.041316986,1.257135663,-0.683053996,0.259043686,-1.485480929,-25.58360465,-0.82794601,0.769148936
C01Q1,1,1,0.05,-0.466690601,0.226968455,1.044423647,0.092018578,-0.316596897,-6.517008824,-0.230109009,-0.230851064
C01Q1,1,1,0.05,0.802277068,-0.714936419,1.8857673,-0.342322927,-0.337276239,-6.878070117,0.851696161,-0.230851064
C01Q1,1,1,0.05,1.508289302,0.037255921,0.445717389,-1.201251672,-0.014558329,-1.145942485,0.141454547,-0.230851064
C01Q1,1,1,0.05,-0.362081661,0.911209469,0.758510841,2.090294448,0.304661687,4.728974854,0.300519242,-0.230851064
C01Q1,1,1,0.05,-0.105224642,-0.348295339,-0.18296002,-0.1130495,-0.328573422,-6.72622316,-0.335469525,-0.230851064
C01Q1,1,1,0.05,-0.86281875,-1.386316255,-0.13055634,-0.939902816,1.005121129,18.33445731,0.665979015,-0.230851064
C01Q1,1,1,0.05,0.66043204,1.811369836,0.456839439,-0.995233061,1.117208604,20.60268208,0.300519242,-0.230851064
C01Q1,1,1,0.05,1.001019698,0.174150378,-0.412138789,-1.390394769,-0.574824061,-10.96431353,0.23989462,-0.230851064
C01Q1,1,1,0.05,0.336683237,1.829632545,-1.587118845,-0.146666316,1.536672368,29.31400196,0.032255255,-0.230851064
C01Q1,1,1,0.05,0.761810073,-1.29273944,0.779002576,-0.521532464,-0.177527819,-4.066646804,0.270666279,-0.230851064
C01Q1,1,1,0.05,0.806974735,-0.085660952,0.932257471,-0.569661345,0.094308254,0.834734971,-0.740934633,0.769148936
C01Q1,1,1,0.05,-0.88295282,0.239760743,-2.04319125,-1.753418159,-1.668701568,-28.32452853,-1.279931134,0.769148936
C01Q1,1,1,0.05,0.390232643,-0.556837099,-1.701071358,1.027493655,-0.39781317,-7.930128285,-0.740934633,0.769148936
